name,avg_rating,description,category,price_range,location_type
Kapadoccia,2.0,"The concept of this restaurant is brilliant. However, the execution is bad. The cuisine was confusing, and the food doesn't average tasting, nothing memorable.  The ambience, which is supposed to be the selling point, was disrupted with some load music from a big bad speaker...hanging from the wall.  Toilet has no way to lock so someone can open the door on you while you're doing your business. The waiters are trying too hard but need some training. 
I had high hopes for this restaurant and wanted it to be perfect and I was ready to pay the premium price for it but I should have gone  to cafeteria next door at least they won't pretend to be premium and they'd serve better meals.More",Cafe,Moderate,Mainland
L'Afric,4.0,"I'm actually impressed with this restaurant. 
Everything's just great or perfect or ok.
Highly recommended Food was reallyyyyy good but service was not that great. Went for lunch with a couple of friends. 3 people ordered for drinks and the waitress brought only one. 30mins later I called her to ask about our drink orders and she said she only...took one order and was coming back for the rest. She was really trying to be on top of her game but kept falling short. I believe they didn't have enough staff to cater because it was difficult to get a hold of our waitress at every point.
The food took forever to come! Thankfully she was courteous enough to update us when we asked. 5 people's food came and she went to attend to another table while the 6th plate was pending without any explanation. Let's just say the service was poor but the food made up for it. 
We ordered the l'afric special rice & fried rice, platter, kebab and rice+obe dindin. We all loved our food.
Oh and the portions are massive for a really good price. 
Would definitely go back, hopefully service is better!More Great menu! I love the fact that this restaurant serves real pounded yam and not flour. My favorite meal is the Seafood Okro. I also love the white soup. Great lunch place! I also love this place for a budget weekend meal with my family....There’s something for the entire family including the little ones.More",Casual Dining,Budget,Island
La Giara Italian Restaurant,4.0,"It is a pleasure to write a letter of recommendation for the Italian restaurant at the Lagos Sheraton Hotel.  Special compliments to Atinuke and Godstime for exceptional service. A lot of restaurants produce great food, however, it is rare to find the quality and attention...to detail that Atinuke and Godstime have.  

A special thanks to both of them for a job well done.  I look forward to returning to the Italian restaurant the next time I am in Lagos.More I have been on the road for a while now and really, really needed a delicious meal. La Giara did not disappoint! The menu offered a lot of variety, and dishes I have not seen at any other restaurant. Absolutely incredible. And the staff was...amazing, Shade took very good care of our table.More After a long day of travel, this was such a great way to end my day! Shade was our server and was attentive to anything we needed.  Excellent eggplant parmesean, generous servings. I was with 2 colleagues and we could have ordered 2 dishes for...all of to share, with extra.  We all walked away full and ready to rest. If you're in Lagos, particularly if you're staying in the Sheraton, you won't regret eating here.More",Casual Dining,Moderate,Island
La Mango Restaurant and Bar,3.5,"The ambience is serene, the food is awesome, and the service is commendable. 

It's an ideal  place for business, family, friends, and couples gathering.

Highly recommended! It's really fun-filled with sweet delicacy. I love everything about it, it's a place you need to use for hangout etc. So I had visited over 5years ago and had weird looking/tasting steak. Fast forward to today, took my brother and family there.  Not only were we given the food we didnt order, the chicken (we ordered fish) was super dry and chips overly salted. Every...food we ordered was extra spicy. Flies were all over and no one came to clean up. Never had such a wack meal that cost so much. Never again.More",Fast Food,Moderate,Island
La Veranda,4.0,"La Veranda Italian Cuisine/Restaurant is part of the leisure and hospitality entity known as The Blowfish Group. This comprises of a hotel- The Blowfish Hotel, 9-7 Supermarket and about 5/6 Restaurants. The Restaurants include: Izanagi Japanese Restaurant, Woks Asian Cuisine, Seabass Seafood Restaurant, Velvett Grill...Lounge & Bar, Mahawis Lebanese Grill and of course- La Veranda Italian Cuisine. A Purple Restaurant was also listed, but don't know if it's still operational, or the name changed. La Veranda and Woks Asian are located inside The Blowfish Hotel, while the others are situated in and around the same street. There's also 'The Poolside by Blowfish'- a casual/sports bar type eatery by the hotel pool. I had the pleasure of dining at Izanagi Japanese Restaurant a few years back; (you can read my separate review of it on TripAdvisor). 

Even though I knew The Blowfish Group had a number of restaurants, I had no idea an Italian Restaurant was a part of them. On this visit to Lagos, I was with 2 of my daughters who happen to love Italian food, so a google search of Italian Cuisine on Lagos Island brought us to La Veranda. The restaurant is located above/opposite the pool area, just by an adorable children's playground surrounded by lush greenery. You access it via a staircase. The restaurant was lovely, with an elevated, breathtaking, 'deep blue' backdrop of Blowfish Hotel's swimming pool. Service was fast and efficient, but our main criticism was that we were not informed that there was a non-smoking seating area. We ended up sitting in the smoking area and got simultaneously bombarded by the second hand cigarette and shisha smoke of two different sets of customers. Had we known this, we would have asked to be seated in the non-smoking section of La Veranda. They had outdoor, as well as indoor seating.

La Veranda Italian Cuisine has an awesome menu featuring numerous Italian Classics. It comprised of 14 ANTIPASTI, 9 SALADS, 2 SOUPS, 20 PASTAS, 6 STEAKS, 8 MAIN COURSES, 3 PIATTI DELLA CASA (HOUSE DISHES), 12 CLASSIC PIZZAS, 3 VEGETARIAN PIZZAS, 3 WHITE PIZZAS, 2 SIDE DISHES, 6 DESSERTS, 3 MILKSHAKES, FRESH JUICES, COFFEE & TEA, 4 MOCKTAILS, SPECIALTY SHOTS, COCKTAILS, and a heck of a lot of ALCOHOL, plus a sizeable SHISHA selection. 

We were a party of 3, so for our Starters, we ordered the ARANCINI (a rustic, Italian favorite, crispy bites of risotto, breaded mozzarella cheese, served with creamy balsamic sauce for dipping), SHRIMP SCAMPI FRITTA (hand-breaded & fried shrimp lightly tossed with garlic & a butter lemon sauce) and BASTONCINI DI MOZZARELLA (MOZZARELLA SQUARES). We also ordered a Classic Pizza- the FRUTTI DI MARE (tomato, mozzarella, shrimps, calamari, garlic, chilli). For our Mains, we ordered the PENNE AL PESTO (penne pasta tossed with homemade basil pesto sauce), a TAGLIATELLE CON POLLO (thinly sliced chicken breast, sauteed mushrooms in a fresh cream sauce, over a bed of pasta ribbons) and the RAVIOLI DE LA CASA (homemade fresh ravioli filled with ricotta & spinach, prepared with a mushroom, creamy rosa sauce). 

For our drinks, we got 2 Mocktails, the BERRY GO ROUND (raspberry, mint) and VERANDA PASSION (passionfruit, strawberry, orange), and one VANILLA MILKSHAKE. We got a takeaway order for our driver. It was, the SPHAGHETTI ALLA BOLOGNESE (sphaghetti topped with a hearty tomato meat sauce & fresh basil) and a MIXED GREEN SALAD (mixed lettuce tossed in our signature lemon vinaigrette with tomatoes, green pepper, cucumber & olives). The Starters were good, but for the Arancini, I expected the creamy balsamic glaze to come as a side dipping sauce, as opposed to being drizzled on the Arancini. It had an unappealing color that looked like a caramel sauce. I also thought that the Shrimp Scampi would be a tad bit more fried than it was. The Mozzarella Squares were imcredible. 

The Seafood Pizza was delicious, however, the pizza crust/base was a little on the thin side and there wasn't enough calamari on it. My Ravioli was amazing- so smooth and creamy, but the portion was on the small side. My daughter didn't like her Vanilla Milkshake. She found it to be too sweet and quite grainy with tiny pellets of ice in it. They both really enjoyed their Tagliatelle and Penne Pesto. The Mocktails were very good- fruity and refreshing. Our dining experience at La Veranda Italian Cuisine was overall, a rather pleasant one. As previously mentioned, the main 'hiccup' we had was other diners blowing smoke in our direction, and that was very unfortunate and super annoying. None of the staffers wore name tags, so I can't identify them in this review, but the service at La Veranda was generally quite impressive. The food is without a doubt truly authentic Italian Cuisine! 👌🏽 Even though Italian Food doesn't quite make my list of 'Top Ten Favorite Cuisines' in the world, I look forward to visiting La Veranda Restaurant again; sometime in the near future! 😄 Highly, highly recommended!!!More Very Expensive. The menu does not show the price of things unless you go on their website that does not contain the full menu…  Difficult to find a meal with lots of vegetables if that is what you are looking for. The ambience of La Veranda was good. Felt very chill and family friendly, unlike some places in Lagos that seem to try too hard with their ambience!
The main course of a t bone steak was okay. The food was pretty bare! Just the steak...on a wooden platter and a basket of fries. I'd have liked sauteed vegetables to go along with it
The tiramisu dessert was really nice though, with lots of visual interest.More",Fast Food,Premium,Island
Lagoon Breeze Restaurant,4.0,"This space is amazing what can I say !! Members only so that’s perfect no funky crowd , perfect for families or friends.

Food is so different from what you get in Lagos , very Mediterranean style and a lot of seafood options considering its...a beach club 

The pool is mad 🤪 I felt like I was in Mykonos …. This place is definitely worth the membership and hype a good investment .More The best buffet ever and so many choices.... perfect atmosphere with great music.... whole roasted goat was amazing food is actually pretty ok but service can be really slow, just getting attention in the first place, then drinks then ordering then it arriving................

when it arrives though its actually pretty good, pizzas great

Rob",Casual Dining,Moderate,Island
Lagoon Restaurant,3.5,"Food was okay but the restrooms were a total mess. I understand it's used by staff and guests but the whole experience was marred by the unsightful experience and compounded by management response that the cleaners had not yet started work. Leaves me wondering about...the conditions under which food is prepared.More Well what can I say. Nothing really except thank you for informing me indirectly. Because staff are not supposed to use the customers toilets. But according to you they are. And the manager was not doing his job, because it the toilet were not cleaned...More this place has a problem with international payments and cards and if their machine doesn't work they blame you the customer as if it doesn't work.  don't support this place. they told me today that they know they have this problem but do not have...to tell customers in advance.More",Casual Dining,Moderate,Mainland
Lydia's Place Restaurant and Lounge,4.0,"Lydia made pepper soup that was amazing . Love the service atmosphere and especially the food! Beautiful place! Did I say very affordable! went with my girlfriends and we had a blast. great atmosphere and the best local food we have all had in ages. 
The native soup was rich with prawns, fresh fish, stock fish, dry fish, periwinkles etc.... Delicious !!!  
a definite 5 stars for the...food  !!!!! definitely the place for great Nigerian food !!!!!More Lydia's Place is a nice cosy restaurant which caters local Nigeria dishes from Rice, Pasta, a range of soups and staple,etc. They also have private lounges.
The first time i ate here, i ordered the Seafood Okro with Poundo Yam, and i was sold! It...was soo nice and even though i was filled up i had to request a take home pack! yes it was that good.
Great value for money as the portions are large, reasonably priced and service is pleasant,

Down side is the wait period; it took so long....  so be prepared to wait awhile, although i discovered you can make a call to place your order befor your arrival and this cuts the wait time almost by half. Also parking can be abit of an issue especially Friday evenings (but then again so is almost every hangout spot in Lagos) so you may have to park outside and pay a tip.
I would most definately recommend to anyone who loves good Nigerian foodMore",Local Buka,Budget,Island
Manuela's Residence,3.5,"They never fail to tickle my taste buds. I would give them a 10/10 for their pizzas which are made in a brick oven Their rocula (rockets vegetable) is the freshest ever. Nice Antipasti, Pizza and Pasta! Well presented and with good service; all at reasonable prices when thinking about the quality. Perfect place to be!!! I come here often on couple dates and I always get the same feeling of being out of Lagos in a quaint Italian town, I love Italy and all things Italian. The food is lovely staff are very friendly and know their way around the...menu. I recommend coming here for a quiet time and good food.More",Casual Dining,Moderate,Island
Mexican and Caribbean Grill,3.0,"Nice setting and sincerely looks like they put in good effort to create a Mexican restaurant. The service is ok. We bought Tacos and honestly it was bland. The children could not finish their meals. But the service was nice through it all. Though the food was great, not much variety, it was basically rice with poultry, fish or beef. Did not really get that authentic Mexican or Caribbean  feel.",Casual Dining,Moderate,Island
Mr Chang,3.5,"The food here is good, and the service attitude is also good. I will come here again for dinner next time The spot is great for casual date ,it is a beautiful place to wind after a long day int office with a nice meal and drink . D restaurant is so nice,dere food is very sweet,I feel like visiting dere again I love dere hospitality dere",Casual Dining,Moderate,Island
New China Restaurant,4.0,"Service is good, except for the WiFi which wasn't available. Worth another visit. Spicy chicken and fried rice were good m lemon chicken not so good but overall good experience Very good western/Chinese food with an extensive menu.
 Food very good, nicely cooked and plenty of choice for all.
Comfortable environment and good, friendly service Courteous service with lot of options to pick from. Our party of three was happy with the service. Will definitely visit again.",Casual Dining,Moderate,Island
Noir,4.0,"Great service. 
Food just average. 
I'd recommend Fresh Cut fries anytime. 
Beef Bourguignon - beef wasn't sliced as thick as I anticipated but not suya street meat thin. It's served separate from the mashed potatoes. Included zucchini, carrot and just a touch of onions. The...sauce could have been more robust with flavor. Even the French cook with my more spices/seasoning/flavor. 

Lobster Thermidor - forever grateful they do not use egg. The rice pilaf that's served alongside is as bland and flavorless as possible. You'll do best rolling the thermidor amongst the rice so the cream rolls into the rice. A half portion was sufficient, but I'd totally recommend the full serving should you have time/money/room. 

Chicken Sandwich (Burger) - this was chosen as grilled over battered. We had a lot of carbs so there's that. The fries were crisp and seasoned as they should be but you rarely find in these parts. Topped with lettuce. Mayo spread. Tomato slices. Fried onions that were cold against everything else. Recommend with a notice to watch for the toppings condiments if you have allergens.

Truffle Pasta with homemade fettuccine - I was asked and opted for the homemade pasta. I probably should have went with the store bought. The Parmesan cheese topping is authentic but the truffles were hard to find and Taste yet the butter was prominently evident. Given all the dishes and the lack of flavor begging for immediate consumption - I had it packed to go home via takeaway. 

By the way they charge for ToGo containers. Take away. At these prices it should be included. 

Service was attentive. 
Saturday night had 4 tables total and the service didn't fail. 
The welcoming bread basket was served via a paper napkin in the bowl. Given these prices and location - I'd expect a cloth napkin at best. They have monogrammed cloth napkins at different seats in the restaurant. 
Vibe - good for a date night or group or family. Took the window view and sat in the booth. Lighting was apropos for the mood.  

I shall return for salads, soup and fried shrimp. Plus, I know I'd like to try 1 dessert eventually but no rush to drop 40-60k. 
See the pictures for the dishes.More Noir boasts of fair parking space- that is important when you choose to dine out on a weekend evening in Lagos.

 Climb up to the restaurant on the first floor and the interior welcomes you with brilliant Nigerian paintings that adorn its walls and a...full length window that gives a view of the street outside. House Music remixes of popular contemporary songs played in the background . Each table has a hand sanitizer for guests and the restroom is neat.

The waiters are attentive and their adaptability quite commendable.
However, the food..., yes, the food. 
For a glass of tropical cocktail juice at Noir, I expect hand-squeezed fresh fruits and not the obvious mix of supermarket packed juices.

The seafood salad arrives and looks colourful but the chef is miserly with the shrimps. I can make out the three pieces tucked beneath the lush greenery.
I compare this same meal I had ordered at another restaurant within the neighbourhood and certainly the chef here is quite restrained in his/her portions.

A good experience but I drive away wondering if I was billed, more for the ambience, than the meal.More Had a very good night, service was amazing, food was on point as always, It’s a MUST GO TO restaurant in lagos!",Fast Food,Moderate,Island
Nok by Alara,3.5,"Exceptional Service and Food.  Love the decor and ambiance of this restaurant. Its casual creative vibe and good food makes this restaurant a must visit.  The Blackened Catfish with the Plaintain Beignets are a must.  They have a Moctail Menu as well and vegan options. Nok has amazing ambience with both inside and outside seating. The service is excellent, the food was very good , albeit they didn't have a quarter of the items on the menu. They also have a shop selling their designs. Food is super average when it comes to taste. I asked for a beef with suya crust and the meat was tough and not tasty. Besides they coupled it with scrambled eggs (dry) and a random salad. 

Price per dish is around NGN10k, which for...me is a robbery for what I have eaten.More",Casual Dining,Moderate,Island
Ocean Basket,4.0,"As usual, the food was very flavourful. Our waiter, Kehinde was very attentive. Was there for a birthday celebration They had a very terrible service. The staffs were very rude and nonchalant. The food also tasted so bad. This is my second visit to Ocean Basket- (the V.I Akin Adesola branch). Was with my daughter this time around, so decided to try it again because she loves Seafood, and Ocean Basket is your one-stop-shop for great Seafood in Lagos. I won't get into...any details about the restaurant/menu, as I wrote an extensive review about it 5 months ago. It was an overall pleasant experience, with yummy Seafood and a nice ambiance. I wanted to try the Sushi at Ocean Basket on my maiden visit, but was told at mid-day that it wouldn't be available till after 3p.m, so I had to settle for their regular Seafood options.

This time around, Sushi was available, (thank heavens)! 🤲🏽 Not being too hungry, I ordered just 2 Sushi(s)- the PANKO SALMON FUTOMAKI and the PANKO PRAWN FLOWER GUNKANS, plus CRUMBED PRAWN TAILS (Served with Herb Mayonnaise) as my Starter. My daughter got the LEMON GARLIC MUSSELS or MUSSELS IN LEMON GARLIC SAUCE and CREAMY SEAFOOD PASTA. For her drink, she got a Mocktail called OCEAN BASKET SPECIAL. We were presented with 3 complimentary freshly baked Bread Rolls, served with 3 'mismatched' Sauces/Dips. The last time around, these Bread Rolls weren't fresh, but on this visit, they were hot, soft and fluffy! 😋

Both my Sushi(s) were a big letdown! First of all, the rice used wasn't the right kind, and just about every ingredient within the Sushi was tasteless and underseasoned. For the Flower Gunkans, I thought the actual Sushi would be wrapped in a sheet of Smoked Salmon. Yet, it was enveloped in a murky, pale, overly thick slice of pickled ginger! YUCK! 😫 It was too thick and pungent to be eaten, so I ended up unwrapping the ginger and discarding it entirely. The Futomaki Panko Salmon was decent, but perhaps because it was deep fried. Nevertheless, it lacked flavor. My Crumbed Prawn Tails were good, so crunchy, fleshy and fried perfectly. 

My daughter loved, loved, loved her Creamy Seafood Pasta. She said it's one of the best Pasta dishes she's ever had, and that they were super generous with the Seafood in it. For over 10 thousand naira....they better be! 😄 She also enjoyed her Ocean Basket Special Mocktail, but as for the Lemon Garlic Mussels, it was a different story. Though she said the sauce was delicious, the Mussels weren't cleaned properly, so the 'waste product' on them was still attached to the flesh. How gross! 🤮 Not knowing much about this type of shellfish, (as I don't like it)- I took her word for it. 

So this second experience at Ocean Basket ends up being a 'mixed bag'......a medicore mixed bag at best! Service is okay, albeit a bit slow. We had to urge them to speed it up a bit as we were in a hurry. Ocean Basket is still a place a would visit again, but I will most definitely avoid their Sushi. It is crystal clear that SUSHI IS NOT THEIR STRENGTH, so I'd politely urge customers visiting Ocean Basket to kindly avoid the Sushi here and go for the various types of Seafood on offer. Sending their employees to Sushi School won't hurt! 🍣 🍱 🏢

I rated Ocean Basket highly the first time I reviewed them, but this time around, it's going to have to be an average. The only thing that 'salvaged' the experience was the Fresh Bread, Crumbed Prawn Tails, the Lemon Garlic Sauce that accompanied the Mussels, and the Creamy Seafood Pasta of course. They should please endeavor to improve upon their Sushi, clean out the poop from their Mussels and speed up the service a tad bit. Regardless of the 'hiccups' this time around, Ocean Basket is still a wholesome, decent Seafood Joint that serves impressive Seafood, and I'd highly recommend it! 🍤 🧆 🦐 🐟 🦀 🐙 🦞More",Casual Dining,Moderate,Island
Ocean Basket Ikeja GRA,4.0,"It was a lovely experience.  Amazing food, sizeable platters to fill you, value for your money, friendly servers. I highly recommend for seafood lovers. We went as family dinner and we ordered some sea food plus Japanese food but i have to say its average. The customer service was fantastic and the meal not quite bad. Would rather want a more cozy ambiance. On a scale of 1 to 10, would rate it 7",Casual Dining,Moderate,Island
Ofadaboy,4.0,"A place to be. the food taste good,nice environment, excellent courtesy from the staffs, with 7000, I ate like a king. I just love everything about that place.my first time of visit and I will be visiting there regularly now👍 The waiting time for food is ridiculously long. I had to wait for 1 and a half hour to get my take out pack. The food was ridiculously small and alarmingly expensive. I spent about 32,000 on 4 take outs and the food was like...a baby portion...

Do not waste your money.More Hello , I’m sorry to hear you had such a not so good  experience at our restaurant. Our goal is always to provide excellent service and great food, so we’re disappointed that we didn’t meet your expectations. We would love to speak with you further...More",Casual Dining,Premium,Island
Orchid House Thai Restaurant,4.5,"Great food, excellent atmosphere.  A bit pricey but nice selection of beers, drinks and food. We went back a couple times while we were in town and appreciated their service. Yesterday I called their line and a very rude man proceeded to tell me their delivery guy was too tired to deliver - this was 8pm. He then off handedly asked if I am still interested I should call at midnight ( I know for...a fact they close at 10pm) then he hang up! A screenshot of my message followed by the rude phonecall!More Nice food nice Chapman 5/5 
Portion was great. Waiters served the food on time. Scenery is great. The only problem was that I Found it hard to locate The ikeja restaurant because there was no sign board",Casual Dining,Premium,Island
Pathaiya Oriental Restaurant,3.5,"I’m not sure about the food or ambience but I suggest don’t order for home delivery. Been more than 2.5 hours and whenever I call I get the same message. Delivery is ten mins away

Pathetic !! I was at this restaurant last night with my clients from Thailand. This is my first-time experience with Thai Food and I was not disappointed. Although the chef complained of low business due to ecomomic challenges. I believe the restaurant stand a chance to attract...more Thai people and lovers of Thailand food like myself.More The ambience is beautiful and yet not too loud.  The service is fantastic and the servers are very respectful and helpful.  I love spicy food, I thoroughly enjoyed the food (spiced the way I like it).  All in all, it was a good experience.  I...have gone to the restaurant several times after my first visit and referred friends and colleagues.  I have received positive feedback from the people I referred.  Its a good place to eat.More",Casual Dining,Moderate,Island
Pats Bar,3.5,"Pat's seems to have gone a bit downhill recently - the Sunday evening band and BBQ used to be excellent but aren't happening any more. I hope they start that up again.

It's not a place you'd take the family. But that applies to most...bars I've been to in West Africa. The service is good, the food has never made me or any of my colleagues ill and the pizzas are really not bad at all. The outside area is pleasant enough, but inside can be a bit noisy. Crucially, the drinks are cold, although you tend to have to emphasise the point if you want a really cold beer.

The friendly female clientele aren't too annoying. If you want a quiet evening on your own to have a drink and something to eat, the best strategy is to buy whoever sits next to you a drink, make it clear that you're not interested and then let her sit there and keep the others away. 

When leaving it's best to make sure your Uber or driver are waiting right outside before you walk out. That way you can avoid the hawkers and the attentions of the ladies who haven't been allowed in or have been chucked out.More Full of old white expats and very young Nigerian girls wearing nothing.  This is not a place to ‘catch up with friends’, it is a brothel.   Vile place. Funny how the picture on this site shows all men at the bar while it is quite the opposite when you go....  Let's face it, tons of girls go at this bar to round up the month meeting foreigners and they are not looking for...love ;) Very average place depending on what you are looking for.....More",Casual Dining,Moderate,Island
Pearl Garden,4.0,"Together with friends, quality of the food is good but price are much to high, 2 soups and 2 beer was about 33.000ngn. I do not recommend it for more than 3 people. This was either my third of fourth visit to Pearl Garden Restaurant. And even though I can't quite seem to remember how many times I dined at this fabulous restaurant, I do however recall how incredible their food was! Pearl Garden touts itself as one...of the best Chinese restaurants in Lagos, specializing in authentic oriental cuisine. It's a local favorite; extremely popular with Lagosians and expatriates as well, plus one of the number one go-to places for corporate events, wedding parties and numerous large gatherings/functions. This is unsurprising, being that Pearl Garden has a humungous 'surface area'. The restaurant is vast and expansive, with plenty of space, seating, not to mention the fact that it's a two story building. The decor is 100% oriental; with golden, ornate and intricate designs, fittings, trimmings and accoutrements. There's a big focus on the colour red, which gives it a warm and rich vibe. It's like you've been transported to Asia when you step into this magnificent restaurant! And then there's the food! 😋 Pearl Garden serves up some of the best Chinese food I have ever had the pleasure of eating in Nigeria; so authentic and sinfully delicious. It also has a very convenient location; on a quiet street in the heart of Victoria Island. Service is also top notch at Pearl Garden. From the moment you walk in, to the time you leave, everyone- from the staff to the Chefs to the waiters is friendly, respectful, professional and diligent. 

We ordered DEEP FRIED PRAWN CUTLET, PRAWN SPRING ROLLS WITH MAYONNAISE as our starters. For the mains, we got SHREDDED BEEF WITH GREEN PEPPER, PRAWNS IN SWEET & SOUR SAUCE and FRIED RICE WITH SEAFOOD. For my drink, I got the PUNCH D'SPECIAL. This is a mocktail made with a mix of orange juice, red grape juice, lemon squash and grenadine. As was to be expected, everything tasted absolutely delicious, especially the Prawn Sweet & Sour, which is an all-time favourite of mine. The sauce was sweet, tangy, sticky and velvety- just how I like my S'n'S sauces! 😋 The Fried Rice was cooked to perfection, with generous amounts of various seafood chunks. The Shredded Beef was packed with so much 'soy-saucy' flavour, and the crunch of the green peppers and onions added to the dish's goodness. The Prawn Spring Rolls were fried to a golden brown, lovely colour and were so sumptuous, as were the enormous Prawn Cutlets. I also enjoyed the Punch D'Special mocktail. It was a tad bit sweet, a tad bit bitter, and a tad bit tart, yet very refreshing. 

Pearl Garden Restaurant is definitely a place worth visiting if ever your in the mood for an eatery that specializes in authentic Chinese cuisine. There isn't a single thing I would change about this restaurant, however, I would like to see a complimentary treat provided to customers, either before or after your meal, which is commonly customary in many Chinese restaurants. It just seems appropriate for a restaurant of this class and calibre. For example, a bowl of Prawn Crackers as you wait for your order, or some Fortune Cookies or freshly cut oranges with cherries after you finish eating would be nice. Hope this isn't a stereotype and won't be open to a negative interpretation! 😯 But I would also expect complimentary Nachos at a Mexican Restaurant or complimentary Bread Rolls at an Italian or French Restaurant or Raita/Chutneys/Dips at an Indian Restaurant. Didn't catch the name of the waiter who served us, but I'd like to say thank you to him for advising us not to order an additional dish because he said it would be too much food for us. He was right! 😁We could barely finish the dishes we ordered. Their portions are quite big here. Pearl Garden Restaurant stands as a testament to truly authentic Chinese fare that is one of the best places you will have the pleasure of dining at in Lagos. This place exudes finesse, class, grace, professionalism and of course, phenomenally great Chinese food. I will continue to return to Pearl Garden Restaurant because it is a paragon of excellence and the 'gold standard' for original, truly authentic Chinese Cuisine. Nobody does Chinese food better than these guys! Keep up the great job Pearl Garden! 👏🏽 Highly, highly, highly recommended!!! 👍🏽👍🏽👍🏽More Very good service, delicious food with high variety and options, very good for the prestigious and business dinners.",Local Buka,Moderate,Island
Peppercorn Avenue,4.5,"Only their website will give an insight of their repute. Its a place to Explore a melange of flavours from India and Thailand at Peppercorn Avenue, a fine dine restaurant that adds a dash of passion in every dish. Peppercorn Avenue
6A, Otunba Adedoyin Ogungbe...Crescent,
Off. Admirality Way,
Phase 1, Lekki, Lagos-105102More Average place but attentive staff and  prompt service will make you feel special, food is delicious with enough serving.

A great place to dine out in Lekki. Five of us went for dinner, it could not have been better. All the food was fresh, tasty, perfectly spiced and reasonably priced. The highlights were the momos (steamed and fried chicken dumplings), the buttered chicken, the Thai red curry and the Nazi goreng. All...of us had a great meal in a relaxed atmosphere. Awesome!More",Casual Dining,Moderate,Island
Pizze-riah,4.0,"The staff are rude and robbing the place. Not recommended at all especially if you are expecting a good service. I visited this pizzariah today with my family to just order a takeaway pizza since they don't do delivery but the service was so poor, we ordered a bottle of water while we wait for our pizza which never came and the pizza  we got...was definitely not worth waiting for. This place was highly recommended by a friend but I guess they are basking in old glory.More Probably the best pizzas in Lagos.
Well run and managed.
Great variety of pizzas as well as suyas, cold beer and to round it up, excelent tiramisu or chesecake",Casual Dining,Moderate,Island
Pondicheri,4.5,"The food taste and quality was not good at all.
The food used to be good when they started the restaurant but now there is no supervision and immense lack of attention has caused to the extreme deterioration of the quality of the food. The portions were very tiny.the food was tasty but the prices were extremely high.
When I first visited it was a great experience.Sadly seems to have lost a bit of the charm The Pondicheri atmosphere, food, service, and value for money are superb. It’s a superb place to hand out with family and friends. The food is nice and spicy. Your bar is top-notch. The beer is ice-cold. The waiters are well trained, well behaved, and attentive...without being obstructive. The manager is a perfect gentleman.More",Casual Dining,Moderate,Island
RSVP,4.5,"Visited with my spouse just to cool off the heat of making livings and sustainability. Friendly staff and helpful security. Had fun and it was a great experience coming here. Would love to visit again to do this. Great Britain was the only way I could have a good night I have to do with my friends and I have a question regarding this matter what I am saying I am a student Whilst I’m not one to really complain and prefer to appreciate when things are amazing, id like to be informed on a place and always do the same.

SEATING

The new RSVP finally opens after months with glam and elegance to its new look. Some...say the booth system is old and outdated but really RSVP brings it all back to the modern look giving the client the feeling of privacy and allowing one to enjoy an intimate meal. Walking in you can tell you are in a fine dining restaurant. I give it a 9 on 10

But is it only about the look? let's rate the rest.

SERVICE:
We were welcomed in and the manager got us seated immediately. The waiters were on point to bring us the menu and give us a few minutes to look through it. The waiters however do stand right over you. Hard to enjoy a meal with them 1 Meter in front of u. I know they need to be in sight and with the booth system,  it’s hard to get the attention but I’d suggest they walk around every few mins as opposed to standing over the guest.

The staff constantly asks you for a happy weekend. this means they want a tip. Yes, this is very normal in Nigeria but in a fine dining place like RSVP, one would hope this doesn’t happen. It certainly does not happen at the fine dining restaurant (SLOW) owned by the same chain.

Let's rate this with a 6 on 10.

FOOD:

The tacos were nice and crunchy. The perfect sweet and salty blend to give a mouthwatering experience to the taste. 

The beef carpaccio which is actually Beef Tatar was nice but very salty. Perhaps this was just a one-off. Beef Tatar is one of my favorite dishes so my expectations were perhaps too high. 

The lobster sushi seemed dry but the taste-wise was great.  It does happen and we have experienced this before in other restaurants. perhaps it is the humidity. 

Some think it's easy to make a french fry and all one needs to do is deep fry chips but really there is a whole way of making the perfect chip and RSVP pulled it off fabulously.

We ordered the pot stickers which tasted amazing but I wish they looked as good as they taste,

For food let's rate this a 7 on 10.

DRINKS:

We ordered 2 Bloody Mary’s and the waiter was quite clear that it would take time to make and this was well appreciated. It did taste amazing and I love how RSVP uses fresh tomatoes to make this instead of a packet.

lats rate this a 9 on 10.

Overall experience was pleasant. I would most definitely visit this place again. I look forward to trying the Oysters next. 

Stayed tuned for more reviews on restaurantsMore",Fine Dining,Moderate,Island
Rangla Punjab,4.5,"One of the best restaurants in Lagos in terms of food, ambience and service that i have seen so far. I had tried  Sarson ka saag and Makki ki roti and it was awesome.The new addition Pepe Naan has become my favourite.It has become one...place now for me for authentic Indian food.More Thank you. We look constantly to evolve and better ourselves based on the feedback of our customers. One and Only the one Rangla Punjab for Authentic Indian cuisine in Lagos. I been in Lagos more then 18 years and didn't had North Indian foods till which I had in Rangla Punjab.

Everyone in Lagos should experience.",Casual Dining,Moderate,Island
